100 100
14	69	45	76	48
23	43	79	3	9
7	35	34	25	67
17	24	60	58	51
89	81	54	10	38
45	54	55	95	19
61	40	74	56	77
82	29	23	62	44
25	65	69	57	98
86	22	3	82	66
21	81	34	9	2
66	99	30	55	19
52	56	30	65	98
32	29	62	73	7
90	42	86	53	44
29	41	97	6	48
91	84	46	14	74
15	28	15	31	79
17	30	84	36	70
19	75	37	39	19

24	59	73	59	12
100	6	10	96	48
38	48	78	16	78
76	72	73	54	100
41	75	9	93	40
69	82	86	2	48
18	54	26	33	88
62	27	92	34	23
2	90	19	11	59
50	53	73	72	91
87	83	19	44	22
43	39	38	6	33
39	43	23	86	57
82	70	74	44	34
20	4	100	31	100
20	27	94	30	37
40	13	60	58	66
100	62	14	21	56
70	98	69	76	87
15	48	9	13	34

94
